# Time;avg. speed [m/s]
0.00;6.22
300.00;5.36
600.00;5.99
900.00;5.90
1200.00;5.40
1500.00;5.64
1800.00;5.32
2100.00;5.46
2400.00;5.50
2700.00;5.83
3000.00;6.08
3300.00;5.73
3600.00;5.72
3900.00;6.19
4200.00;5.27
4500.00;5.53
4800.00;5.76
5100.00;5.52
5400.00;5.82
5700.00;5.48
6000.00;5.52
6300.00;5.65
6600.00;6.02
6900.00;5.18
7200.00;5.43
7500.00;5.53
7800.00;5.81
8100.00;5.70
8400.00;5.71
8700.00;5.39
9000.00;5.24
9300.00;5.24
9600.00;5.13
9900.00;5.61
10200.00;5.56
10500.00;5.61
10800.00;6.24
11100.00;5.10
11400.00;6.04
11700.00;5.81
12000.00;5.66
12300.00;5.46
12600.00;6.17
12900.00;6.10
13200.00;5.59
13500.00;6.10
13800.00;5.93
14100.00;6.17
14400.00;5.77
14700.00;5.92
15000.00;5.87
15300.00;5.94
15600.00;5.95
15900.00;5.91
16200.00;5.52
16500.00;6.16
16800.00;5.68
17100.00;5.81
17400.00;6.56
17700.00;5.35
18000.00;6.72
18300.00;5.84
18600.00;6.51
18900.00;5.68
19200.00;6.79
19500.00;5.97
19800.00;5.62
20100.00;6.05
20400.00;7.01
20700.00;6.30
21000.00;6.81
21300.00;5.80
21600.00;6.27
