# Time;avg. speed [m/s]
0.00;6.22
300.00;6.73
600.00;5.93
900.00;6.37
1200.00;6.18
1500.00;6.24
1800.00;5.99
2100.00;6.39
2400.00;6.38
2700.00;6.32
3000.00;6.56
3300.00;6.38
3600.00;6.37
3900.00;6.37
4200.00;5.82
4500.00;6.36
4800.00;5.79
5100.00;6.52
5400.00;6.16
5700.00;5.93
6000.00;6.44
6300.00;6.30
6600.00;5.77
6900.00;6.16
7200.00;6.46
7500.00;6.17
7800.00;5.83
8100.00;6.40
8400.00;6.37
8700.00;5.79
9000.00;5.82
9300.00;5.84
9600.00;6.20
9900.00;6.02
10200.00;6.53
10500.00;5.94
10800.00;6.27
11100.00;6.58
11400.00;6.54
11700.00;5.79
12000.00;6.67
12300.00;6.02
12600.00;6.54
12900.00;6.39
13200.00;6.47
13500.00;5.89
13800.00;6.77
14100.00;6.27
14400.00;7.02
14700.00;6.68
15000.00;6.75
15300.00;6.23
15600.00;6.55
15900.00;6.59
16200.00;5.91
16500.00;6.96
16800.00;6.80
17100.00;6.22
17400.00;6.34
17700.00;6.56
18000.00;6.56
18300.00;6.54
18600.00;7.94
18900.00;5.80
19200.00;7.53
19500.00;6.58
19800.00;5.97
20100.00;7.91
20400.00;7.18
20700.00;6.20
21000.00;7.14
21300.00;6.50
21600.00;5.44
21900.00;7.31
22200.00;0.74
22500.00;-1.00
22800.00;-1.00
23100.00;-1.00
23400.00;-1.00
23700.00;-1.00
24000.00;-1.00
24300.00;-1.00
24600.00;-1.00
24900.00;-1.00
25200.00;-1.00
25500.00;-1.00
25800.00;-1.00
26100.00;-1.00
26400.00;-1.00
26700.00;-1.00
27000.00;-1.00
27300.00;-1.00
27600.00;-1.00
27900.00;-1.00
28200.00;-1.00
28500.00;-1.00
28800.00;-1.00
29100.00;-1.00
29400.00;-1.00
29700.00;-1.00
30000.00;-1.00
